bank_tier,current_version,target_version,version_jump_size,system_age_months,last_upgrade_months_ago,code_customization_percent,third_party_integrations,avg_transaction_volume,peak_transaction_volume,system_uptime_percent,avg_response_time_ms,incident_count_last_6months,unplanned_downtime_hours_last_year,infrastructure_model,server_count,database_size_gb,concurrent_users,network_bandwidth_mbps,power_stability_score,deployment_strategy,deployment_automation_level,pm_methodology,critical_incidents_last_year,test_environment_available,backup_verified,rollback_plan_exists,staff_training_completed,early_stage_testing_completed,cbn_compliance_verified,data_localization_compliant,cyber_security_framework_updated,bcp_dr_plan_tested,customer_satisfaction_score,customer_complaints_last_quarter,digital_banking_adoption_percent,service_disruption_tolerance_hours,upgrade_window_hours,business_critical_period,regulatory_compliance_required,dedicated_team_size,vendor_support_available,budget_allocated_usd,external_consultant_engaged,upgrade_success,upgrade_risk_score,system_health_score
tier1,v9.0,v9.0,major_1x,82,14,20.377300206117145,12,368108,586050,96.0065048200177,761,4,27,hybrid_cloud,16,37004,6082,4448,85.00699537549762,blue_green,81.02773702220804,kanban,3,1,1,1,1,1,1,0,1,0,80.14050405391147,12,48.28662903616382,10,59,0,1,20,1,1988959,0,1,51.30545643250909,57.283252410008856
microfinance,v8.5,v11.0,major_2x,60,4,31.968744274196354,6,226360,229739,97.87866385431768,675,4,8,on_premise,22,12773,1892,4489,72.38350979421125,big_bang,34.32351449921931,agile,2,1,1,1,1,1,1,1,0,1,70.05473896850916,16,42.42282936279526,1,11,0,1,10,1,923583,0,1,100.0,69.43933192715883
tier3,v10.1,v9.0,minor,61,29,17.24917422062634,17,216744,324934,98.08990439685927,909,4,23,on_premise,18,5986,5787,3196,86.85390382444069,blue_green,54.83432576076128,waterfall,6,1,1,0,0,1,1,1,1,1,67.87681756634169,9,49.48032731359393,2,52,0,1,8,1,2075174,0,1,51.19534056783004,57.36495219842962
tier2,v10.1,v11.0,minor,106,10,35.815884133708025,37,362691,586792,98.08437730363231,513,4,24,private_cloud,10,15512,7530,4572,87.41414218244591,canary,17.195427982903954,agile,5,1,1,1,1,1,1,1,1,1,69.94757055656707,11,55.94052755060459,5,55,0,1,14,1,3614608,1,1,53.28970306727781,64.78218865181616
tier2,v10.1,v9.0,major_1x,19,41,48.2340885178374,33,265013,710722,96.19807963534547,985,3,13,hybrid_cloud,24,12600,4207,5560,79.75590300937985,blue_green,39.58577385233756,kanban,6,1,1,1,1,1,1,1,1,0,86.73968916316896,10,59.893285857327996,9,10,1,0,10,0,2203631,0,1,44.16571303204023,62.89903981767273
tier2,v8.2,v10.1,major_2x,93,33,66.51833204766372,12,351897,462503,97.32686542780974,933,4,6,on_premise,22,25579,4204,5793,73.55571936276965,blue_green,69.80477774579934,kanban,3,0,1,1,1,0,0,0,1,1,84.70248360338066,17,82.72532604846225,2,54,1,0,10,0,1650343,1,1,100.0,65.00343271390487
tier2,v9.0,v9.0,major_1x,96,14,31.185378189243718,33,345195,417633,97.81321156439411,936,3,8,on_premise,25,16705,6380,6073,84.37586313240823,blue_green,71.22332816665188,kanban,7,1,1,1,1,1,1,1,1,1,90.6663698212303,14,48.03046864492858,9,27,0,1,15,1,1816943,1,1,47.58775841153148,67.18660578219706
tier3,v10.1,v10.5,major_1x,63,35,46.732996128227235,7,206979,537026,98.55129277636055,1177,2,28,on_premise,8,24635,5511,4237,76.55659431561124,big_bang,56.49011174173882,waterfall,2,1,1,1,1,0,1,1,0,0,72.37090870844867,18,77.7999631566845,1,51,0,0,5,1,2289435,1,1,84.63878783383687,55.73564638818027
tier2,v8.2,v11.0,major_1x,23,20,24.172212475823525,15,152223,177594,96.09211787301372,1668,4,16,on_premise,24,27750,3512,1556,79.26199737454581,blue_green,65.9539893637915,kanban,2,1,0,1,1,0,1,1,1,1,72.9313174354492,11,68.9840963330054,8,42,0,0,4,0,2182246,0,1,88.88315934920419,44.68605893650685
tier2,v8.5,v9.0,minor,37,15,35.396517078104466,12,342925,392871,97.46653533585665,1555,13,23,on_premise,17,37008,1892,6699,76.93054894456343,blue_green,38.55652741786247,scrum,0,1,1,1,1,1,0,1,0,1,66.17018793156275,17,60.71959473803344,6,57,0,0,15,1,3175440,1,1,100.0,17.133267667928322
tier3,v10.1,v11.0,major_1x,68,6,64.50439264096995,10,232865,645197,95.79999264273798,1062,8,21,public_cloud,12,16596,5041,5031,65.88890989793966,canary,51.83645418687249,kanban,6,1,1,1,1,1,1,1,0,1,76.5115641948397,9,45.04775025717231,7,15,0,0,11,0,1668316,1,1,79.28669902685388,42.15999632136899
tier1,v10.1,v10.5,minor,103,29,63.92472632262,49,432140,551352,97.54783122432922,1273,9,25,hybrid_cloud,13,29920,8072,9028,91.77003985325766,blue_green,24.30194628167755,scrum,2,0,1,0,1,0,1,1,1,1,69.13296306118536,6,50.18942969574315,7,64,0,1,6,1,4877485,1,1,100.0,33.81391561216461
tier2,v8.2,v9.0,major_2x,78,29,46.77082375865741,32,357190,429900,96.21410412463301,734,8,33,hybrid_cloud,19,18693,3492,1936,86.63706055442346,big_bang,22.614210498801327,agile,3,1,1,1,1,1,1,1,1,0,75.11495614830346,6,81.24780263303145,9,7,1,0,4,1,2168524,0,1,100.0,42.927052062316505
tier2,v9.0,v9.0,minor,39,27,29.33310322196882,25,246639,763682,98.74052506687634,544,4,38,on_premise,32,19448,3747,1479,79.73954097914691,blue_green,50.72407019334007,scrum,0,0,1,1,0,0,1,1,1,1,90.80268641852767,6,61.95560130775827,8,10,0,1,5,1,3213367,1,1,76.75245782332794,57.49026253343817
tier2,v8.5,v10.5,major_1x,95,11,36.92272265055616,22,163891,354045,96.43098268422732,1054,2,12,on_premise,19,12632,3945,5657,80.70313577328119,blue_green,51.445676580496674,agile,6,1,1,1,1,1,1,1,1,1,89.95874313800091,13,66.05405473815469,2,31,1,0,14,0,2601582,0,1,43.31532882474953,65.13549134211367
tier3,v10.1,v10.5,minor,67,25,21.119330161825996,13,187779,501469,96.72144300424907,813,11,8,on_premise,19,25740,3435,4651,73.66958648873678,canary,36.194069361936066,waterfall,0,1,1,1,0,1,1,1,0,0,65.21450511741827,12,59.30938462284351,7,47,0,0,11,1,2178807,1,1,100.0,45.10072150212453
tier2,v9.0,v10.5,major_1x,105,18,35.367069878724735,29,236890,815702,97.03890886720487,358,9,36,private_cloud,24,12136,5785,6467,86.81783486921269,canary,65.25746422290051,kanban,0,1,1,1,1,1,1,1,1,1,73.30046207593641,10,53.067555366768225,1,46,1,1,7,1,1901636,1,1,70.7873011765526,46.35945443360244
tier3,v8.5,v11.0,minor,20,17,20.786729506641116,15,174708,411715,98.3173620375621,356,5,30,hybrid_cloud,13,21370,4133,1151,75.8189337736367,big_bang,42.084198718381316,scrum,6,1,1,1,1,0,1,1,0,1,85.54867178486563,17,74.9097754950575,6,19,1,0,8,1,946608,0,1,89.09673196712552,62.03868101878105
tier3,v9.2,v10.5,minor,64,18,56.16644997164996,20,108240,407057,97.93188345649796,1385,7,13,on_premise,28,13966,998,4118,81.67006725326956,blue_green,10.20483591743308,scrum,2,1,1,1,0,1,1,1,0,1,65.29738827870652,11,68.53191601075497,9,33,0,1,6,1,1550880,1,1,87.70267029902647,43.765941728248976
tier1,v9.2,v11.0,minor,34,3,21.44435402932376,38,424085,620013,95.85162548736304,1941,4,34,private_cloud,33,48563,2346,4566,100.0,canary,90.4118683586826,agile,4,1,1,1,1,1,0,1,1,1,73.01334316391825,13,79.0610494853592,11,70,0,1,9,1,1675626,0,1,60.60057993428047,30.10581274368152
tier3,v8.5,v10.1,major_1x,48,22,22.91457273181393,10,275069,348073,95.47787368482362,543,7,34,on_premise,20,16800,2923,2448,82.37308190536191,canary,46.19400946631071,waterfall,6,1,1,1,1,0,0,1,1,1,63.7687618909584,8,48.16242958056443,3,19,0,0,9,0,1138832,1,1,97.44368756728626,48.87893684241182
tier2,v8.2,v9.0,minor,97,44,55.38927540870089,26,392884,300167,97.60853750554897,936,6,12,hybrid_cloud,24,32898,1966,3148,84.92999038456598,canary,77.21041378425348,waterfall,4,1,1,1,1,0,1,1,1,1,89.99439409433431,10,53.18942710788966,1,45,1,0,15,1,2781558,1,1,65.03300926666469,56.08426875277448
tier1,v8.5,v9.0,major_1x,105,24,73.79031458119087,30,387551,859735,97.47699979293354,1383,6,26,public_cloud,45,28338,8812,5200,97.99916880410208,canary,51.50834959853537,scrum,0,1,1,1,1,1,1,1,1,1,76.1062345207535,6,82.73025221621073,1,30,1,1,19,1,2783934,1,1,56.40711583329443,40.07849989646678
microfinance,v8.5,v9.2,major_1x,77,5,61.36088821132924,31,31576,188584,96.02186841087412,366,5,24,on_premise,7,15842,3390,4729,64.30415067562772,big_bang,3.1046722202840744,waterfall,1,1,1,1,1,0,1,1,1,0,67.95127710887239,9,67.53642266593147,8,22,0,0,11,0,384838,1,1,100.0,63.69093420543706
microfinance,v8.2,v10.1,major_1x,18,36,54.68303029551595,21,248819,223018,97.71435708396564,934,8,20,hybrid_cloud,4,8956,1068,1921,75.41773908829008,big_bang,46.47313796798734,scrum,5,1,1,1,1,1,1,1,0,0,66.59760156521222,21,56.98755702498902,7,12,0,0,4,1,1199323,0,1,100.0,46.17717854198281
tier3,v8.2,v10.5,major_1x,23,22,24.125571086978425,5,259666,489341,95.69654532953652,538,0,29,hybrid_cloud,12,18571,2641,6008,76.05729563640267,rolling,42.22488021410413,agile,5,0,1,0,0,1,1,1,0,1,76.38359859811185,12,56.81740551241954,2,29,0,0,4,1,1492737,0,1,49.70189024038452,72.58827266476825
tier2,v9.0,v10.5,major_2x,72,10,31.349822136982226,32,385659,194016,99.28815302019676,1240,1,15,hybrid_cloud,39,15701,3093,3974,83.42132246065535,blue_green,11.964340297134658,agile,4,0,1,0,1,1,1,1,1,1,71.20446148784065,11,69.16624381577579,2,52,0,1,6,0,2903447,1,1,72.91339139428555,64.34407651009839
tier1,v9.0,v10.1,minor,51,29,71.76692488600783,19,379018,540221,95.70463892765008,1173,5,29,public_cloud,29,18506,3265,6769,94.77276886732949,blue_green,63.672084984151745,kanban,3,1,1,0,1,1,1,1,1,1,70.8023659061156,16,52.8555712041422,5,69,1,0,6,1,4278806,1,1,54.494457035496595,44.89231946382503
tier3,v8.2,v10.5,minor,50,13,61.32659310515681,6,226142,545978,95.65957957685538,1135,0,24,on_premise,27,9635,1788,4507,78.16169725458377,big_bang,65.58934400456272,waterfall,0,1,1,1,1,1,1,1,0,1,73.9312025947548,16,45.07016057423275,9,48,0,0,13,1,829212,0,1,61.35514494019169,63.129789788427686
tier2,v9.2,v9.2,major_2x,14,19,52.39432620147446,15,348258,579250,96.65572220344986,846,10,9,hybrid_cloud,33,12150,2165,1821,77.82539643685105,canary,26.050867557664777,kanban,1,1,1,1,1,1,1,1,1,1,84.29238654317233,8,62.0027555544147,6,49,0,1,13,1,3174380,0,1,97.2107892683763,46.90786110172492
tier1,v9.2,v11.0,minor,72,37,36.27893801820362,45,194328,953453,97.83457550708596,401,9,40,hybrid_cloud,48,40990,9584,4241,90.83472377544382,canary,38.94880722544672,kanban,6,1,1,0,1,1,1,1,0,1,80.25203837262308,6,53.06133302775197,9,52,1,1,15,1,4932996,0,1,82.51566064966231,43.89728775354298
tier2,v8.5,v9.0,major_2x,72,16,27.694319551995957,17,186780,572589,96.27766146692622,358,4,35,hybrid_cloud,13,13893,3419,4796,84.63371839167239,rolling,58.88883663401917,scrum,3,1,1,0,1,0,1,1,1,1,88.90467035868195,10,48.78069699485767,5,29,0,0,13,1,1718684,1,1,72.57287054172681,61.47883073346311
tier1,v10.1,v10.1,minor,35,46,70.59040794303695,19,225601,946275,98.8316679616478,1791,2,43,hybrid_cloud,43,45256,2216,4157,93.8950183905394,blue_green,84.77771029525371,agile,5,1,1,1,1,1,1,0,1,1,63.33484117632816,9,58.41107224582213,2,32,0,0,9,1,1696348,1,1,47.435297851404805,36.09583398082389
microfinance,v8.5,v9.0,major_1x,29,30,21.920944619480316,17,137284,526029,96.29015196835077,984,2,15,on_premise,23,12956,3117,2283,64.75029005641603,big_bang,39.578850789603386,waterfall,1,1,1,1,1,1,1,1,1,0,76.5189097108387,10,59.11771458884397,6,27,0,0,9,0,1518409,0,1,61.38036942953675,64.96507598417537
tier2,v8.5,v11.0,minor,16,34,53.6483799519605,13,218129,595637,95.57223580178598,1538,9,30,on_premise,25,32979,5642,7970,89.1895038241123,canary,60.541905213100726,waterfall,6,1,1,1,1,1,1,1,1,1,83.94283645732355,8,47.83783645638074,1,53,0,0,7,0,3302441,1,1,74.2841794175988,25.026117900892984
tier3,v10.1,v10.1,major_2x,65,37,65.64127944924918,23,283099,380271,98.35796082368051,1236,10,25,on_premise,9,13953,1472,2812,76.67849660435506,blue_green,26.908622828685786,waterfall,4,1,1,0,0,0,1,1,1,1,65.24334144193168,11,59.16546838520296,7,46,0,0,11,1,2245292,1,1,100.0,31.95898041184026
tier2,v8.2,v11.0,major_1x,105,41,56.2267266613128,22,277208,714817,99.16823220812476,897,8,42,on_premise,17,36198,1938,2126,86.13860671299791,rolling,11.247259555932581,scrum,1,0,1,1,0,1,1,1,1,1,69.21840440409525,9,63.00349419686608,9,25,1,1,10,1,3281321,1,1,95.32654448711939,36.64411610406239
tier3,v9.2,v10.5,minor,67,31,26.660946786473115,23,299548,476108,97.43720232288412,433,2,34,on_premise,19,15914,3063,3255,80.72516653989733,canary,59.7511668240509,waterfall,2,1,1,1,0,1,0,1,0,1,82.07647435777658,12,50.47861414921527,2,46,1,0,3,0,1638628,1,1,70.73064981670744,67.05860116144206
tier3,v8.5,v10.5,minor,97,27,28.023923861941537,30,65682,453651,98.10504700422402,1122,7,7,private_cloud,14,22779,3389,2931,74.85520372563165,big_bang,69.69565197279962,waterfall,2,1,1,1,1,1,1,1,1,1,84.71852915557635,15,61.29443705203407,5,38,1,0,4,0,1986781,0,1,77.4180806126726,52.11252350211201
tier2,v10.1,v10.5,minor,77,22,19.91773123470548,38,320426,741056,95.90021987615134,1383,4,29,private_cloud,31,8578,4690,7896,86.76874633208392,canary,75.04780747307748,agile,6,1,1,1,1,1,1,1,0,1,64.36938917695599,14,47.399226136650164,7,15,0,0,16,0,3002896,0,1,58.859365274354815,43.79010993807567
microfinance,v9.0,v11.0,major_1x,65,37,46.903175228564585,22,181988,258005,95.99972706321174,387,5,1,hybrid_cloud,16,2719,1929,3985,65.75537550171582,blue_green,25.6576721202789,agile,0,1,0,1,1,1,1,1,0,0,71.50888560874303,12,55.94436274450601,1,36,0,1,9,0,1704322,1,1,95.0716980887368,74.75986353160587
tier3,v8.5,v11.0,minor,39,32,40.97175019873331,17,118058,603045,96.39502915851807,691,3,9,on_premise,21,14654,3889,1897,73.81520103209816,canary,28.51660757811849,waterfall,6,1,1,1,1,1,1,1,0,1,67.00257162917585,9,66.74006465259941,3,44,1,0,10,1,2534977,0,1,63.98195972980668,70.87751457925904
microfinance,v9.2,v11.0,minor,83,17,21.984140073908517,15,152529,351957,98.26472784681587,971,10,16,on_premise,23,7325,2793,1927,72.44046655188015,canary,57.712476791019284,waterfall,5,1,0,1,0,0,1,0,1,1,84.78267174862417,13,66.08215132941653,3,34,1,0,10,0,940328,0,1,100.0,41.712363923407935
microfinance,v8.2,v9.0,major_1x,26,17,23.0850915305374,30,120697,241878,96.79649007837837,133,4,17,on_premise,16,14104,4258,1466,67.82400063053375,canary,59.33839698359316,waterfall,2,1,1,1,1,1,0,0,1,1,69.04880235505748,17,42.14689821307366,5,18,0,0,6,0,929467,0,1,91.50010885757617,75.2382450391892
tier3,v8.5,v11.0,major_1x,71,35,13.01526756562301,29,308476,528211,95.26585948483894,718,9,31,on_premise,14,18168,1492,3375,76.76125448055626,rolling,45.18299044033821,waterfall,1,1,1,1,1,1,1,1,1,0,80.4048836320435,13,69.52999237494402,3,58,0,1,4,0,985912,1,1,80.65000009000853,40.772929742419464
microfinance,v8.5,v10.5,minor,75,24,62.0791035895992,25,43040,478690,96.36427548001588,905,8,28,on_premise,15,9946,1494,2967,69.75216591408959,big_bang,32.32464924962947,agile,2,1,1,1,1,0,1,1,0,0,74.2066951245164,14,70.70447577146379,9,48,1,1,4,1,1388349,1,1,100.0,42.08213774000794
tier1,v10.1,v9.2,minor,94,35,69.04475841895733,24,160180,782318,95.63283443852092,1429,14,21,private_cloud,43,46545,9493,6726,100.0,canary,58.889091844244845,scrum,8,1,1,1,1,1,1,1,1,1,80.6108428208719,3,54.56610148280237,6,44,0,0,18,1,3264425,0,1,91.19339809329686,16.73641721926046
tier2,v9.0,v11.0,major_1x,96,5,37.78033636681835,14,157223,779642,96.36373391338617,364,2,24,on_premise,20,28686,3777,7750,85.04508095888012,big_bang,25.534596122957687,scrum,4,1,1,1,1,1,1,1,1,1,77.87170928837617,14,63.33155539912246,11,7,1,1,7,1,3779512,1,1,61.441215974934806,72.90186695669308
tier1,v9.0,v9.2,major_2x,59,11,76.56592349558365,13,123899,869353,97.59547893483034,1453,9,28,private_cloud,21,20405,9141,7958,85.15972922353012,blue_green,76.8969864277363,scrum,6,1,1,1,0,1,1,1,1,1,72.41978712071572,13,77.60467685136783,11,69,0,0,18,1,2739642,1,1,92.55099043793555,28.737739467415167
tier2,v8.2,v10.5,minor,96,3,54.55644119246446,14,367995,505155,96.70369015185378,675,3,14,public_cloud,37,27242,3170,4267,78.0094813173284,canary,23.244547422496133,agile,0,1,1,1,1,0,1,0,0,1,82.39930045011717,13,62.472074053982055,11,33,0,0,15,1,3523969,1,1,79.34943302350771,68.85184507592689
tier2,v9.2,v11.0,major_1x,73,36,58.964213737373065,29,297742,529396,95.54918160056519,1158,5,12,hybrid_cloud,10,19600,3407,4316,86.1910584490205,blue_green,26.11661307027008,agile,0,1,1,1,0,0,1,1,1,0,91.10266098500595,8,82.98154939785627,1,18,1,1,5,1,1529688,1,1,64.62601617990501,53.6145908002826
tier2,v8.2,v9.0,minor,33,39,54.72456158751406,22,394949,224390,95.88125014283658,979,7,36,hybrid_cloud,33,23558,1797,1454,89.88958155161117,big_bang,60.72515273053964,scrum,7,1,1,1,1,0,1,0,1,0,63.8133270504067,7,83.88142502870782,8,35,0,1,8,1,1651567,0,1,100.0,39.36062507141828
tier3,v8.5,v9.0,minor,19,16,54.05586389765148,20,167658,328949,97.19675384563702,1318,11,30,on_premise,27,9580,4314,2193,85.10007382486424,rolling,61.633896335831516,agile,6,1,1,1,1,1,1,1,0,1,76.12991394552905,10,63.021432819061154,6,50,1,0,5,0,2388524,1,1,98.99619920210334,24.238376922818517
tier2,v8.5,v9.2,major_1x,42,44,24.54496904915834,40,153538,551034,98.18213050441135,547,12,13,hybrid_cloud,13,29502,2696,4768,78.19506051920054,rolling,60.11138511579949,waterfall,1,1,1,1,1,1,1,1,1,1,76.9259398847206,14,50.46106876890986,5,30,0,0,5,1,1867379,1,1,90.41915831255166,45.65106525220568
tier2,v9.0,v9.0,minor,36,43,47.75457727383817,28,238503,607339,97.02604485854958,1426,2,35,hybrid_cloud,19,28647,6839,8136,85.69109554412256,canary,45.88211658002336,waterfall,5,0,1,1,1,1,1,1,1,1,70.38796603944714,7,68.08765959077353,7,21,0,0,13,1,3031764,0,1,53.07143375266754,46.4930224292748
tier3,v9.2,v9.0,major_1x,57,4,59.13376999331856,21,223549,284725,97.83838686723813,1330,3,25,private_cloud,29,23955,2325,3601,77.05049567597999,canary,50.49533938448704,waterfall,5,1,1,1,1,1,1,0,1,0,83.30028391086687,16,70.98013624976,1,12,0,0,12,1,598580,1,1,57.99368714351378,50.81919343361906
tier1,v10.1,v9.0,major_2x,70,33,17.54486259889272,32,331501,637854,96.3160273800477,1145,1,25,hybrid_cloud,45,42162,5742,8870,91.15248066430999,blue_green,53.673612436880966,scrum,3,1,1,1,1,1,1,1,0,1,92.65913062352895,15,80.64488330165489,8,60,0,1,12,1,2472140,0,1,58.52480275863339,59.75801369002386
tier3,v9.2,v10.5,major_2x,61,42,19.294549281963135,35,106016,229396,95.67317724160696,1312,10,34,on_premise,26,17517,2899,3855,84.3699431013861,rolling,47.869296754322065,scrum,5,1,1,1,1,1,1,1,1,0,88.38915009650985,6,59.30197549667671,2,41,0,0,3,1,2488448,1,1,100.0,24.596588620803487
tier1,v8.5,v9.0,minor,119,44,31.94725587541138,14,223410,815194,99.2850091574501,1888,3,16,public_cloud,21,21805,8330,8618,88.49058407804861,blue_green,81.33052882617453,waterfall,3,1,1,1,1,1,1,1,1,0,65.49237012951602,11,85.64377381336321,10,57,1,0,18,1,2807382,1,1,37.56508186341076,44.882504578725055
microfinance,v10.1,v10.1,minor,45,23,26.56810462803554,8,51582,335494,96.2301545434883,491,5,20,on_premise,14,17655,2029,2146,69.37651860052034,big_bang,3.837246255059331,waterfall,1,1,1,1,1,1,1,1,1,1,80.41130898666738,12,52.553979644495975,9,10,0,0,5,0,1052294,1,1,77.91552031986008,63.29507727174416
tier3,v9.2,v11.0,major_2x,76,13,22.546788198499538,16,195353,370865,96.7752449969179,449,1,33,hybrid_cloud,14,20996,2998,5651,80.82034740286285,canary,20.015150886287742,waterfall,4,0,1,1,0,1,1,1,0,0,72.56324045317015,15,58.11916880096944,1,42,0,0,10,0,2517422,0,1,80.27644616001457,69.90762249845895
tier2,v9.2,v9.0,minor,105,9,51.42654881901291,13,100436,192529,99.18299202766839,1017,8,15,private_cloud,15,20012,5837,3875,74.59874431231135,canary,62.88082024173045,agile,1,0,1,1,1,1,1,0,1,1,78.61520352626601,10,49.961716445218904,1,50,1,1,4,0,2266170,0,1,92.81178329001277,47.751496013834185
tier1,v10.1,v9.0,major_1x,23,23,35.02901483504146,46,120519,737231,97.46116205443744,1812,7,49,on_premise,18,34685,5425,9038,100.0,blue_green,49.11841766680589,agile,6,1,1,1,1,1,1,1,1,1,92.75088638199907,16,74.74386928785141,4,51,0,1,9,0,3397944,1,1,70.24088244042375,16.990581027218717
tier3,v8.5,v9.0,minor,38,22,21.196519423001906,30,279988,249804,95.25191992727912,1133,2,12,on_premise,21,13947,3688,6046,76.88586495880547,big_bang,39.41734098788688,scrum,2,1,1,1,1,0,1,1,1,1,74.07092935177094,14,63.37669194409389,5,24,0,0,4,0,1142038,1,1,75.98655898139621,62.96595996363956
tier3,v9.2,v10.1,minor,19,33,62.231740878411614,32,67922,160386,98.57202174458781,360,0,11,on_premise,24,7295,896,4300,77.07563096933194,rolling,49.84029208598315,agile,0,1,1,1,1,0,1,1,1,0,61.593224819447414,13,57.884191836655496,8,58,0,1,7,1,1529005,1,1,56.405373721486974,86.5860108722939
tier3,v10.1,v9.0,minor,78,18,50.66349509131745,32,150499,170785,95.28968181053912,1008,11,12,hybrid_cloud,21,15929,3545,6308,81.14976710129548,blue_green,39.69730216309344,waterfall,4,1,1,1,1,1,1,1,1,1,75.65638902300725,7,77.17919470454561,4,47,0,0,7,1,800453,1,1,84.63538806796186,38.484840905269564
tier3,v8.5,v9.0,major_2x,84,38,26.023704012042845,8,130919,365695,97.5925436917358,785,11,9,public_cloud,20,5070,1570,4734,70.10743076984072,big_bang,59.56389150661594,kanban,4,0,1,1,1,0,1,0,0,1,87.09679175849146,12,58.133724279518745,3,40,0,0,9,1,2293927,1,1,100.0,45.59627184586789
tier1,v10.1,v11.0,major_2x,83,26,39.29274644192164,41,343425,763904,97.01667856193913,1361,10,26,on_premise,14,41762,3391,9402,95.44276211601698,canary,47.228590192848976,scrum,3,1,1,1,1,1,1,1,1,0,82.73168507259348,4,62.1849565032653,10,13,0,1,11,1,2348036,1,1,100.0,28.288339280969566
